,title,x-tsne,y-tsne,bias,bias_bin,colors
0,Forrest Gump (1994),-12.295969009399414,-5.740210056304932,0.5638571381568909,3,red
1,Pulp Fiction (1994),4.8988566398620605,14.117053985595703,0.5805221796035767,3,red
2,"Shawshank Redemption, The (1994)",-10.604381561279297,12.217490196228027,0.8990539908409119,4,black
3,"Silence of the Lambs, The (1991)",-0.9638855457305908,17.008241653442383,0.6633824706077576,4,black
4,Star Wars: Episode IV - A New Hope (1977),-9.42294692993164,8.686663627624512,0.5612987279891968,3,red
5,Jurassic Park (1993),-11.573580741882324,1.2468676567077637,0.27001291513442993,2,yellow
6,"Matrix, The (1999)",-12.999053955078125,4.008800029754639,0.5984719395637512,3,red
7,Toy Story (1995),-13.300089836120605,0.751369833946228,0.39619120955467224,3,red
8,Schindler's List (1993),-1.9639358520507812,10.665464401245117,0.6676831245422363,4,black
9,Terminator 2: Judgment Day (1991),-6.95224666595459,1.9696282148361206,0.464764803647995,3,red
10,Star Wars: Episode V - The Empire Strikes Back (1980),-9.49614429473877,8.752689361572266,0.42374366521835327,3,red
11,Braveheart (1995),-13.118517875671387,3.7152817249298096,0.4145216941833496,3,red
12,Back to the Future (1985),-10.157114028930664,9.54880428314209,0.4311761260032654,3,red
13,Fargo (1996),6.801406383514404,16.65753936767578,0.621421217918396,4,black
14,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),-7.906903266906738,7.222192764282227,0.5292354226112366,3,red
15,American Beauty (1999),-1.3720916509628296,10.81142520904541,0.556631326675415,3,red
16,Independence Day (a.k.a. ID4) (1996),-7.048285484313965,-11.510772705078125,0.3163245916366577,3,red
17,Star Wars: Episode VI - Return of the Jedi (1983),-9.3151273727417,8.55195426940918,0.3126661777496338,3,red
18,Aladdin (1992),1.5994865894317627,-1.5947452783584595,0.17740926146507263,2,yellow
19,"Fugitive, The (1993)",-2.8040807247161865,0.3168295621871948,0.5293378233909607,3,red
20,Fight Club (1999),-7.950045585632324,9.161722183227539,0.42659884691238403,3,red
21,Dances with Wolves (1990),-7.246098518371582,3.7163214683532715,0.3700924813747406,3,red
22,Seven (a.k.a. Se7en) (1995),-0.6034673452377319,10.326536178588867,0.4696657359600067,3,red
23,"Usual Suspects, The (1995)",-3.6825921535491943,12.947846412658691,0.665808379650116,4,black
24,"Lord of the Rings: The Fellowship of the Ring, The (2001)",-14.685397148132324,15.074889183044434,0.4212615489959717,3,red
25,"Godfather, The (1972)",-0.29847806692123413,23.462907791137695,0.7798558473587036,4,black
26,"Lion King, The (1994)",1.465778112411499,-2.2856123447418213,0.2414897233247757,2,yellow
27,Apollo 13 (1995),-7.304140090942383,-6.59718132019043,0.46441546082496643,3,red
28,True Lies (1994),-4.4359822273254395,-8.118854522705078,0.11865384131669998,2,yellow
29,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),-8.894442558288574,10.970062255859375,0.380062997341156,3,red
30,Batman (1989),1.7608922719955444,-4.771969795227051,0.24551314115524292,2,yellow
31,"Sixth Sense, The (1999)",-11.086808204650879,16.485368728637695,0.448134183883667,3,red
32,Saving Private Ryan (1998),-3.380368709564209,11.341557502746582,0.396062970161438,3,red
33,Men in Black (a.k.a. MIB) (1997),-4.980991363525391,-3.2744674682617188,0.2745409905910492,2,yellow
34,"Lord of the Rings: The Two Towers, The (2002)",-14.68653678894043,15.071231842041016,0.4294697642326355,3,red
35,Speed (1994),-8.06021785736084,-10.355851173400879,0.3416847586631775,3,red
36,Beauty and the Beast (1991),0.7854706048965454,4.867373466491699,0.29547983407974243,2,yellow
37,"Lord of the Rings: The Return of the King, The (2003)",-14.687541007995605,15.06901741027832,0.5566948652267456,3,red
